demand_heat;supply_wood
4,740956173;0
4,580440123;0
4,746688889;0
4,821214198;0
4,907204938;0
4,970264815;0
5,039057407;0
5,056255556;0
5,010393827;0
4,941601235;0
4,867075926;0
4,804016049;0
4,769619753;0
4,769619753;0
4,804016049;0
4,878541358;0
4,987462963;0
5,130780864;0
5,308495062;0
5,308495062;0
5,469011111;0
5,526338272;0
5,606596296;0
5,692587037;0
6,013619136;0
6,391978395;0
6,71874321;0
6,90792284;0
7,097102469;0
7,234687654;0
7,366540123;0
7,395203704;0
7,337876543;0
7,246153086;27,77777778
7,371250009;27,77777778
7,485137207;27,77777778
7,599280112;27,77777778
7,685015145;27,77777778
7,748075022;27,77777778
7,77699431;27,77777778
7,754574861;27,77777778
7,7610747;27,77777778
7,710503086;0
7,882484568;0
8,060198765;0
8,237912963;0
8,409894444;0
8,587608642;0
8,662133951;0
8,696530247;0
8,736659259;0
8,736659259;0
8,742391975;0
8,730926543;0
8,719461111;0
8,685064815;0
7,957009877;0
6,919388272;27,77777778
6,161646922;27,77777778
5,604806342;27,77777778
5,231668384;27,77777778
5,059431195;27,77777778
5,156887367;27,77777778
5,558433199;27,77777778
6,02902733;27,77777778
6,184577786;27,77777778
6,288789506;0
6,615554321;0
6,948051852;0
7,274816667;0
7,607314198;0
7,934079012;0
8,409894444;0
8,925838889;0
9,441783333;0
9,72268642;0
10,00358951;0
10,19850185;0
10,39914691;0
10,43927593;0
10,28449259;0
10,28449259;27,77777778
10,34079692;27,77777778
10,23110819;27,77777778
10,2019332;27,77777778
9,955170701;27,77777778
10,00676515;27,77777778
10,15607147;27,77777778
10,28270264;27,77777778
10,32359877;27,77777778
10,30169074;0
10,50806852;0
10,72017901;0
10,92655679;0
11,13866728;0
11,34504506;0
11,37944136;0
11,40810494;0
11,43676852;0
11,44823395;0
11,45969938;0
11,45969938;0
11,4654321;0
11,45396667;0
11,39090679;0
11,22465802;27,77777778
11,71586697;27,77777778
12,05131057;27,77777778
12,11633449;27,77777778
12,27209984;27,77777778
12,18037638;27,77777778
12,10486905;27,77777778
11,87359637;27,77777778
11,25724969;27,77777778
10,41061235;0
10,48513765;0
10,55966296;0
10,62845556;0
10,70298086;0
10,77750617;0
10,89216049;0
11,02974568;0
11,16733086;0
11,39663951;0
11,25905432;0
11,29918333;0
